trend,audience,mechanic,loop,money,format,has_ai,word_count,year,created,votes,hit,name
other,other,ai_assistant,none,unknown,chat_voice,1,58,2023,2023-12-31,1,0,Animalia AI
productivity,businesses,utility,none,unknown,web,1,32,2023,2023-12-31,13,0,Knitetech.io
other,other,social_feed,none,unknown,web,1,28,2023,2023-12-31,4,0,Newscadia
other,other,ai_assistant,none,unknown,chat_voice,1,39,2023,2023-12-31,2,0,MagicRecap
other,businesses,tracker,none,unknown,web,1,40,2023,2023-12-31,297,1,UserWise
other,other,ai_generator,none,freemium,other,1,31,2023,2023-12-31,2,0,Bot or Not
other,developers,utility,none,unknown,api_dev,1,55,2023,2023-12-31,2,0,Scrabblecam
other,other,ai_generator,none,freemium,other,1,41,2023,2023-12-31,5,0,FindPic.io - Free Beautiful Stock Photos
other,consumers,utility,none,unknown,other,1,34,2023,2023-12-30,14,0,Findrr
other,businesses,tracker,none,unknown,web,1,41,2023,2023-12-30,0,0,Next Move Strategy Consulting
other,students,ai_generator,none,unknown,other,1,37,2023,2023-12-30,1,0,Brain Cloud Flashcards
other,other,ai_assistant,none,unknown,web,1,58,2023,2023-12-30,441,1,Impakt: AI Coach
productivity,other,ai_generator,none,unknown,chat_voice,1,43,2023,2023-12-30,184,1,Laterbase
other,other,utility,none,unknown,chat_voice,1,11,2023,2023-12-30,1,0,PowerTelegram
other,other,utility,none,subscription,web,1,42,2023,2023-12-30,2,0,Tech Web Planet
finance,other,utility,none,unknown,other,1,39,2023,2023-12-30,147,0,MemeZoo
other,consumers,ai_generator,none,unknown,web,1,50,2023,2023-12-30,113,0,Nextprep
other,businesses,utility,none,subscription,mobile,1,42,2023,2023-12-30,3,0,meed open beta
other,other,ai_generator,none,unknown,chat_voice,1,45,2023,2023-12-30,16,0,Midjourney Prime & Style
creator,creators_solo,ai_generator,none,unknown,web,1,43,2023,2023-12-30,1,0,StockmusicGPT: AI Stock Music Generator
creator,other,social_feed,community,freemium,web,1,46,2023,2023-12-30,4,0,The Prompt Index
other,developers,social_feed,none,unknown,chat_voice,1,31,2023,2023-12-30,6,0,Gemini AI Chat
other,creators_solo,social_feed,none,freemium,other,1,65,2023,2023-12-30,10,0,Free 3D Social Media Profiles Maker
finance,consumers,ai_assistant,shareable_output,freemium,chat_voice,1,43,2023,2023-12-30,3,0,Homelens X
dating_social,consumers,marketplace,none,unknown,chat_voice,1,51,2023,2023-12-30,1,0,Love Type Test ? AI Counseling
productivity,other,utility,none,unknown,other,1,34,2023,2023-12-30,6,0,YandexGPT
other,other,ai_generator,none,unknown,chat_voice,1,29,2023,2023-12-30,2,0,PowerChat
other,other,tracker,none,unknown,web,1,30,2023,2023-12-29,3,0,CloudMate
mental_health,businesses,ai_generator,invite_collab,unknown,other,1,47,2023,2023-12-29,1,0,Luna
other,businesses,utility,invite_collab,unknown,web,1,33,2023,2023-12-29,0,0,GPTfy
other,developers,utility,none,unknown,api_dev,1,52,2023,2023-12-29,2,0,Langify
other,students,ai_generator,none,unknown,web,1,47,2023,2023-12-29,15,0,ExerDevAI
other,other,ai_generator,none,unknown,other,1,43,2023,2023-12-29,8,0,LegenDraw
other,consumers,ai_generator,none,unknown,mobile,1,53,2023,2023-12-29,7,0,Aleah AI
other,developers,utility,none,unknown,chat_voice,1,52,2023,2023-12-29,11,0,Bard AI for Zapier
other,other,ai_assistant,none,unknown,web,1,43,2023,2023-12-29,179,1,Behavly
other,other,ai_generator,none,unknown,mobile,1,58,2023,2023-12-29,138,0,Fridge2Food - Transform food into meals
other,other,utility,none,unknown,other,1,53,2023,2023-12-29,129,0,Pawtrait Studio
productivity,students,marketplace,none,unknown,other,1,31,2023,2023-12-29,9,0,NotesCast
dating_social,other,utility,none,unknown,other,1,45,2023,2023-12-29,123,0,FaceAiSwap
other,other,ai_generator,none,unknown,web,1,44,2023,2023-12-29,312,1,ZOYO
other,developers,utility,none,unknown,other,1,31,2023,2023-12-29,257,1,Canvas
productivity,consumers,ai_assistant,none,unknown,chat_voice,1,43,2023,2023-12-29,11,0,AI Magicx Chatbots
productivity,other,marketplace,none,unknown,browser_ext,1,34,2023,2023-12-29,258,1,BetterAI
other,other,ai_generator,none,unknown,other,1,51,2023,2023-12-29,39,0,NeverEnds
mental_health,other,ai_assistant,none,unknown,other,1,47,2023,2023-12-29,426,1,Readbay.ai
creator,other,utility,none,freemium,chat_voice,1,23,2023,2023-12-29,2,0,600+free ChatGPT Prompts for Marketing
productivity,other,utility,none,unknown,other,1,31,2023,2023-12-29,2,0,AIToolCap
other,other,utility,none,unknown,other,1,16,2023,2023-12-29,2,0,Astrallabs.ai
other,consumers,ai_assistant,none,unknown,chat_voice,1,49,2023,2023-12-29,1,0,Instancy Generative AI Learning Platform
creator,creators_solo,ai_generator,none,unknown,other,1,51,2023,2023-12-28,3,0,Sage Brush: AI Painter
creator,other,ai_generator,none,unknown,other,1,50,2023,2023-12-28,2,0,TubeHorizon
other,developers,utility,none,unknown,api_dev,1,51,2023,2023-12-28,4,0,Mistral-rb
